min,max,cuota
0,670,225
670,900,250
900,1166,267
1166,1300,291
1300,1500,294
1500,1700,294
1700,1850,320
1850,2030,325
2030,2330,330
2330,2760,340
2760,3190,360
3190,3620,380
3620,4050,400
4050,6000,445
6000,7000,530
